parametros_usados,input_dim,units,epoca,acuracia,matriz de confusao
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,100,76.92307829856873,"[[33 11]
 [10 37]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,50,78.02197933197021,"[[31 13]
 [ 7 40]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,100,71.42857313156128,"[[35  9]
 [17 30]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,200,76.92307829856873,"[[36  8]
 [13 34]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,50,52.74725556373596,"[[ 6 38]
 [ 5 42]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,100,78.02197933197021,"[[31 13]
 [ 7 40]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,200,75.82417726516724,"[[31 13]
 [ 9 38]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']",12,1,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']",12,1,100,50.54945349693298,"[[ 0 44]
 [ 1 46]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']",12,1,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
